mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.28744395573934,0.989125113417667,4.26326338450114,1.9025529362613538,200,250,25,sqrt,5,"{'n_estimators': 200, 'min_samples_split': 250, 'min_samples_leaf': 25, 'max_features': 'sqrt', 'max_depth': 5}",0.21019456349242804,0.20914412841826768,0.1953625629908564,0.2049004183005174,0.0067579023566132195,1
11.813783248265585,0.12310698576246053,2.0108300050099692,0.5547076409518297,200,50,50,sqrt,8,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 8}",0.20841588900701258,0.20949422735202192,0.19584170705832105,0.2045839411391185,0.006197348677145302,6
50.79045557975769,3.0305181302243525,1.3265637556711833,1.3207279757457617,500,100,50,,12,"{'n_estimators': 500, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 12}",0.20148011108489258,0.19506198206621947,0.19046000815172012,0.19566736710094404,0.004519257715202828,19
9.64738162358602,0.314682364139439,13.898881276448568,1.2860228622319105,200,100,25,,5,"{'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 25, 'max_features': None, 'max_depth': 5}",0.20390890094071462,0.2003296908510726,0.18641878664303616,0.19688579281160778,0.007544152252623059,14
16.56620732943217,1.2357652749110137,14.982643842697144,0.6435341335056391,500,50,100,log2,10,"{'n_estimators': 500, 'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 10}",0.20646767301425814,0.20930664318207304,0.19715276790897912,0.20430902803510342,0.005191273584776881,7
24.336008310317993,0.26353692481143703,10.567718187967936,0.3628524483667684,200,250,50,,8,"{'n_estimators': 200, 'min_samples_split': 250, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 8}",0.2060375888114978,0.19994631914854594,0.1943019626966883,0.20009529021891068,0.004792207171474947,10
26.91991877555847,1.4237364791725047,10.0686141649882,0.5245293014590737,500,250,100,log2,,"{'n_estimators': 500, 'min_samples_split': 250, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': None}",0.20696333365472713,0.20962963242486513,0.19765202701407664,0.20474833103122295,0.005134551931813536,4
32.15200734138489,0.8506792262330066,8.066571394602457,0.7602923062780677,500,50,250,,5,"{'n_estimators': 500, 'min_samples_split': 50, 'min_samples_leaf': 250, 'max_features': None, 'max_depth': 5}",0.19727899052445572,0.18918357841252362,0.1764352346424921,0.18763260119315714,0.008579809149702123,20
30.606550693511963,5.404474868591421,3.7921990553538003,2.555504973836337,300,100,100,,,"{'n_estimators': 300, 'min_samples_split': 100, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': None}",0.20047647749335834,0.1947558178484967,0.1918389185458913,0.19569040462924878,0.0035876589842411526,18
13.44987154006958,1.0843090984398336,4.144393603006999,0.5816770596279008,300,50,100,log2,5,"{'n_estimators': 300, 'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 5}",0.20741524556746588,0.2082854002432897,0.19532047030643024,0.2036737053723953,0.005917301994457464,8
