mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08283265431722005,0.0034559554154114814,0.01183168093363444,0.0022975794050153556,4,500,250,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 250}",0.17482699184878553,0.1688536902512853,0.1570056760821764,0.16689545272741577,0.007406116596580423,77
0.09739057223002116,0.01671867467275655,0.009866555531819662,0.0020760472825502164,4,500,500,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 500}",0.17482699184878553,0.1688536902512853,0.1570056760821764,0.16689545272741577,0.007406116596580423,77
0.1367964744567871,0.005478552958324392,0.008709589640299479,0.00016038280753345543,5,50,50,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.18293721825655848,0.17792323035458762,0.16295829534989714,0.1746062479870144,0.008486896533192526,53
0.1312220891316732,0.007130509136353597,0.00964498519897461,0.0009204423578404346,5,50,100,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.18293721825655848,0.17792323035458762,0.16295829534989714,0.1746062479870144,0.008486896533192526,53
0.14270758628845215,0.037490459017289895,0.011998971303304037,0.0018014902613048783,5,50,250,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 250}",0.18306045634486603,0.17782166318272474,0.16286735110443484,0.17458315687734186,0.00855594596875124,55
0.16119162241617838,0.021526217342646176,0.01109917958577474,0.0024000155522267384,5,50,500,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 500}",0.18321518407652657,0.17646429129790597,0.16312484364765384,0.17426810634069545,0.008347569143637278,56
0.1284167766571045,0.015509073865521824,0.01174306869506836,0.002706228585086481,5,100,50,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.1826491442567922,0.17816746838058936,0.16681463930515159,0.17587708398084437,0.006664196990377222,42
0.15240891774495444,0.022745316161418522,0.014879226684570312,0.008070216761904048,5,100,100,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.1826491442567922,0.17816746838058936,0.16681463930515159,0.17587708398084437,0.006664196990377222,42
0.12909173965454102,0.012585158723209804,0.00895849863688151,0.0005353818004509811,5,100,250,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 250}",0.18314720568460754,0.17816746838058936,0.16681463930515159,0.17604310445678284,0.006834855409122263,41
0.1468656063079834,0.016175254684771757,0.013879696528116861,0.004862938431432212,5,100,500,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 500}",0.18321518407652657,0.17646429129790597,0.16707213184837055,0.1755838690742677,0.0066197125455793185,44
0.12074518203735352,0.009125501802693102,0.009514729181925455,0.0010284728164977556,5,250,50,"{'max_depth': 5, 'min_samples_leaf': 250, 'min_samples_split': 50}",0.18795052862513098,0.17685580553132735,0.17075762695479413,0.17852132037041749,0.00711708843656777,36
0.13550194104512533,0.01605891439991005,0.011655807495117188,0.0014215142444083061,5,250,100,"{'max_depth': 5, 'min_samples_leaf': 250, 'min_samples_split': 100}",0.18795052862513098,0.17685580553132735,0.17075762695479413,0.17852132037041749,0.00711708843656777,36
0.13042577107747397,0.012408597728163802,0.013875563939412435,0.0049608822782670585,5,250,250,"{'max_depth': 5, 'min_samples_leaf': 250, 'min_samples_split': 250}",0.18795052862513098,0.17685580553132735,0.17075762695479413,0.17852132037041749,0.00711708843656777,36
